Position,Action,Reward
"(0,0)",0,-0.7136900984777735
"(0,0)",1,-0.6311365881693836
"(0,0)",2,-0.7119382846906579
"(0,0)",3,-0.707088109042499
"(0,2)",0,-0.6433921344245741
"(0,2)",1,-0.5037718576857507
"(0,2)",2,-0.6444498374933273
"(0,2)",3,-0.5738612234236099
"(0,4)",0,-0.48470733329134086
"(0,4)",1,-0.08502037657346226
"(0,4)",2,-0.41067282703567637
"(0,4)",3,2.6541348979018218
"(0,5)",0,-0.4303846688618
"(0,5)",1,-0.4039358794332537
"(0,5)",2,-0.3176118306050094
"(0,5)",3,3.089641031465461
"(0,6)",0,-0.11151555421869924
"(0,6)",1,3.5272077726840645
"(0,6)",2,-0.20194428308479218
"(0,6)",3,-0.5147412585482024
"(1,0)",0,-0.6304997737371331
"(1,0)",1,-0.5540747518682123
"(1,0)",2,-0.7629573471680433
"(1,0)",3,-0.7056175513826547
"(1,2)",0,-0.506922637114668
"(1,2)",1,-0.19190572464415523
"(1,2)",2,-0.5728611236972241
"(1,2)",3,-0.577011681263406
"(1,4)",0,2.202132169891617
"(1,4)",1,-0.3691998241649873
"(1,4)",2,-0.4198801739199509
"(1,4)",3,-0.24791459550544695
"(1,6)",0,-0.27146425720565914
"(1,6)",1,3.993776929734513
"(1,6)",2,0.18072092588673547
"(1,6)",3,0.05599288063880922
"(2,0)",0,-0.5823638796528117
"(2,0)",1,-0.48112430862197664
"(2,0)",2,-0.5784115592590688
"(2,0)",3,-0.7053087801922505
"(2,2)",0,-0.42718457480822414
"(2,2)",1,-0.42450695184551135
"(2,2)",2,-0.5640040904536254
"(2,2)",3,0.7860196726347489
"(2,3)",0,-0.49679337417798286
"(2,3)",1,-0.39625961377743524
"(2,3)",2,-0.3302463024690534
"(2,3)",3,1.241781457004783
"(2,4)",0,1.7257815678804516
"(2,4)",1,-0.4649151582901937
"(2,4)",2,-0.2858062317403322
"(2,4)",3,-0.4887429931432462
"(2,6)",0,0.5154426932777636
"(2,6)",1,4.511546910656194
"(2,6)",2,-0.1530919925910249
"(2,6)",3,0.6794262659660529
"(3,0)",0,-0.546421510169812
"(3,0)",1,-0.6994616573909049
"(3,0)",2,-0.6336779764985254
"(3,0)",3,-0.37909556841977526
"(3,1)",0,-0.5080906786053463
"(3,1)",1,-0.5094617151475456
"(3,1)",2,-0.5313417527364173
"(3,1)",3,-0.15220567787402758
"(3,2)",0,0.3563604898903658
"(3,2)",1,-0.42310779736213433
"(3,2)",2,-0.46504352406451355
"(3,2)",3,-0.4347930055617135
"(3,3)",0,-0.4236253590882812
"(3,3)",1,-0.43889887949250006
"(3,3)",2,-0.3037829796414061
"(3,3)",3,-0.49956865090116287
"(3,5)",0,0.00645091778390236
"(3,5)",1,5.695933977583723
"(3,5)",2,0.7422892206353582
"(3,5)",3,-0.15434041524669437
"(3,6)",0,0.7458854442931973
"(3,6)",1,-0.1690468631620889
"(3,6)",2,5.07346758846857
"(3,6)",3,-0.09291688259672556
"(4,2)",0,-0.17444370213871596
"(4,2)",1,-0.4795588949367608
"(4,2)",2,-0.5006259869463118
"(4,2)",3,-0.509509890697575
"(4,4)",0,0.013772397281970078
"(4,4)",1,7.15309597737707
"(4,4)",2,1.3812642720741524
"(4,4)",3,2.0667358454191267
"(4,5)",0,1.3175425998829382
"(4,5)",1,0.8849069890145822
"(4,5)",2,6.38647081091222
"(4,5)",3,0.15549483968740324
"(4,6)",0,-0.15335591400717286
"(4,6)",1,-0.146775
"(4,6)",2,3.173114387253484
"(4,6)",3,-0.14925
"(5,0)",0,-0.5794147917905993
"(5,0)",1,-0.5788288838965397
"(5,0)",2,-0.5794147917905993
"(5,0)",3,-0.5346748789739106
"(5,1)",0,-0.5744790654343087
"(5,1)",1,-0.5342794235719055
"(5,1)",2,-0.5345915316033002
"(5,1)",3,-0.4673607292573913
"(5,2)",0,-0.38753395529953666
"(5,2)",1,-0.5093800250391034
"(5,2)",2,-0.500699385667715
"(5,2)",3,-0.5050321077976246
"(5,4)",0,0.6547586916198171
"(5,4)",1,8.004634463036796
"(5,4)",2,0.5986771464139934
"(5,4)",3,1.1546376272314947
"(6,1)",0,-0.565050737952122
"(6,1)",1,-0.6424496263069959
"(6,1)",2,-0.6482810528536734
"(6,1)",3,-0.6486206438726934
"(6,3)",0,-0.14925
"(6,3)",1,-0.14925
"(6,3)",2,-0.14250000000000002
"(6,3)",3,5.2108535999272165
"(6,4)",0,2.3485364662702466
"(6,4)",1,3.555761674832552
"(6,4)",2,0.6866987694611328
"(6,4)",3,8.949999976840086
"(6,5)",0,1.5033684848841462
"(6,5)",1,1.506744724778327
"(6,5)",2,1.4606414746584604
"(6,5)",3,9.999999999884132
